"","Year","Rank","DJ","Change"
"1244",2015,89,"Robin Schulz","New Entry"
"1245",2016,89,"Jay Hardway","New Entry"
"1246",2017,89,"Alison Wonderland","New Entry"
"1247",2004,NA,NA,NA
"1248",2005,93,"Proteus","Down 3"
"1249",2006,92,"Yoji Biomehanika","Down 60"
"1250",2007,90,"Dave Clarke","Up 10"
"1251",2008,90,"The Chemical Brothers","Down 10"
"1252",2009,90,"Yahel","Down 34"
"1253",2010,89,"Dada Life","New Entry"
"1254",2011,90,"Boy George","Down 10"
"1255",2012,90,"Felguk","Down 3"
"1256",2013,90,"Stafford Brothers","New Entry"
"1257",2014,90,"Richie Hawtin","Down 14"
"1258",2015,90,"Sander Van Doorn","Down 39"
"1259",2016,90,"Porter Robinson","Down 35"
"1260",2017,90,"Ferry Corsten","Up 9"
"1261",2004,NA,NA,NA
"1262",2005,94,"DJ Luna","Down 33"
"1263",2006,93,"Axwell","New Entry"
"1264",2007,91,"Richard Durand","New Entry"
"1265",2008,91,"Steve Lawler","Down 49"
"1266",2009,91,"Myon & Shane 54","New Entry"
"1267",2010,90,"Noisecontrollers","New Entry"
"1268",2011,91,"Tenishia","New Entry"
"1269",2012,91,"Paul Kalkbrenner","Down 29"
"1270",2013,91,"Bl3nd","New Entry"
"1271",2014,91,"Ferry Corsten","Down 49"
"1272",2015,91,"MaRLo","New Entry"
"1273",2016,91,"Bobina","Re-entry"
"1274",2017,91,"Maceo Plex","New Entry"
"1275",2004,NA,NA,NA
"1276",2005,95,"Moshic","New Entry"
"1277",2006,94,"Stanton Warriors","Re-entry"
"1278",2007,92,"Westbam","New Entry"
"1279",2008,92,"Fatboy Slim","Down 26"
"1280",2009,92,"John B","New Entry"
"1281",2010,91,"Showtek","No change"
"1282",2011,92,"Sidney Samson","New Entry"
"1283",2012,92,"Moonbeam","Down 27"
"1284",2013,92,"Paul Oakenfold","Down 23"
"1285",2014,92,"Code Black","New Entry"
"1286",2015,92,"Andy C","Re-entry"
"1287",2016,92,"Zatox","Down 5"
"1288",2017,92,"Carta","New Entry"
"1289",2004,NA,NA,NA
"1290",2005,96,"Max Graham","Down 32"
"1291",2006,95,"Dave Seaman","Down 26"
"1292",2007,93,"Sébastien Léger","New Entry"
"1293",2008,93,"Solarstone","New Entry 26"
"1294",2009,93,"Simon Posford","New Entry"
"1295",2010,92,"Laurent Wolf","Down 26"
"1296",2011,93,"Dirty South","Down 18"
"1297",2012,93,"Sean Tyas","Down 21"
"1298",2013,93,"Mat Zo","Down 21"
"1299",2014,93,"Heatbeat","Down 8"
"1300",2015,93,"MOSIMANN","Down 22"
"1301",2016,93,"Dyro","Down 66"
"1302",2017,93,"MOSIMANN","Re-entry"
"1303",2004,NA,NA,NA
"1304",2005,97,"
New Entry",NA
"1305",2006,96,"Robbie Rivera","New Entry"
"1306",2007,94,"Chus & Ceballos","Re-entry"
"1307",2008,94,"Astral Projection","New Entry 26"
"1308",2009,94,"Fatboy Slim","Down 2"
"1309",2010,93,"Claudia Cazacu","New Entry"
"1310",2011,94,"James Zabiela","Down 45"
"1311",2012,94,"Bob Sinclair","Down 61"
"1312",2013,94,"Diego Miranda","New Entry"
"1313",2014,94,"Merk & Kremont","New Entry"
"1314",2015,94,"Miss K8","New Entry"
"1315",2016,94,"Flume","New Entry"
"1316",2017,94,"Julian Jordan","New Entry"
"1317",2004,NA,NA,NA
"1318",2005,98,"Gigi D'Agostino","Re-entry"
"1319",2006,97,"Andy C","Down 27"
"1320",2007,95,"Wally Lopez","New Entry"
"1321",2008,95,"Leon Bolier","New Entry 26"
"1322",2009,95,"Robbie Rivera","Re-entry"
"1323",2010,94,"Calvin Harris","New Entry"
"1324",2011,95,"Marcel Woods","Down 32"
"1325",2012,95,"Netsky","New Entry"
"1326",2013,95,"DJs From Mars","New Entry"
"1327",2014,95,"Wildstylez","Down 39"
"1328",2015,95,"Tujamo","New Entry"
"1329",2016,95,"Infected Mushroom","Re-entry"
"1330",2017,95,"tchami","Re-entry"
"1331",2004,NA,NA,NA
"1332",2005,99,"Marco Bailey","Down 3"
"1333",2006,98,"Agnelli & Nelson","New Entry"
"1334",2007,96,"Booka Shade","New Entry"
"1335",2008,96,"Nic Fanciulli","Down 51"
"1336",2009,96,"Antoine Clamaran","New Entry"
"1337",2010,95,"Luciano","Down 6"
"1338",2011,96,"Porter Robinson","New Entry"
"1339",2012,96,"Neelix","New Entry"
"1340",2013,96,"Matt Darey","Re-entry"
"1341",2014,96,"Bingo Players","Down 44"
"1342",2015,96,"Mike Candys","Down 12"
"1343",2016,96,"Showtek","Down 59"
"1344",2017,96,"Porter Robinson","Down 6"
"1345",2004,NA,NA,NA
"1346",2005,100,"Magda","New Entry"
"1347",2006,99,"Lisa Lashes","Down 43"
"1348",2007,97,"Adam Beyer","Re-entry"
"1349",2008,97,"Ronski Speed","Down 53"
"1350",2009,97,"Nic Fanciulli","Down 1"
"1351",2010,96,"Marcus Schossow","Down 17"
"1352",2011,97,"Sven Väth","Down 39"
"1353",2012,97,"Mark Knight","Down 27"
"1354",2013,97,"Umek","Down 38"
"1355",2014,97,"The Chainsmokers","New Entry"
"1356",2015,97,"Swanky Tunes","New Entry"
"1357",2016,97,"Daddy's Groove","New Entry"
"1358",2017,97,"Paul Kalkbrenner","Re-entry"
"1359",2004,NA,NA,NA
"1360",2005,NA,NA,NA
"1361",2006,100,"Dave Clarke","Down 64"
"1362",2007,98,"Dirty South","New Entry"
"1363",2008,98,"Tocadisco","New Entry 53"
"1364",2009,98,"Gui Boratto","New Entry"
"1365",2010,97,"Sied Van Riel","Down 12"
"1366",2011,98,"Brennan Heart","New Entry"
"1367",2012,98,"John Digweed","Down 43"
"1368",2013,98,"Solarstone","Re-entry"
"1369",2014,98,"John O'Callaghan","Down 16"
"1370",2015,98,"Galantis","New Entry"
"1371",2016,98,"Martin Solveig","Re-entry"
"1372",2017,98,"DJ L","New Entry"
"1373",2004,NA,NA,NA
"1374",2005,NA,NA,NA
"1375",2006,NA,NA,NA
"1376",2007,99,"Erol Alkan","New Entry"
"1377",2008,99,"Booka Shade","Down 3"
"1378",2009,99,"Alex M.O.R.P.H.","New Entry"
"1379",2010,98,"The Thrillseekers","Down 41"
"1380",2011,99,"Leon Bolier","Down 31"
"1381",2012,99,"Da Tweekaz","New Entry"
"1382",2013,99,"Ummet Ozcan","New Entry"
"1383",2014,99,"Arty","Down 42"
"1384",2015,99,"Cosmic Gate","Down 30"
"1385",2016,99,"Ferry Corsten","Down 14"
"1386",2017,99,"Swanky Tunes","Down 72"
"1387",2004,NA,NA,NA
"1388",2005,NA,NA,NA
"1389",2006,NA,NA,NA
"1390",2007,100,"Laurent Garnier","Re-entry"
"1391",2008,100,"Alex Morph & Woody Van Eyden","New Entry 3"
"1392",2009,100,"Andy C","Down 50"
"1393",2010,99,"Justice","Down 34"
"1394",2011,100,"Boys Noize","Down 28"
"1395",2012,100,"Project 46","New Entry"
"1396",2013,100,"Ran-D","Down 12"
"1397",2014,100,"Felguk","Down 22"
"1398",2015,100,"Knife Party","Down 47"
"1399",2016,100,"DJ Feel","Re-entry"
"1400",2017,100,"Disclosure","Re-entry"
